id,MusicAccess,MusicAccessNo,Age,Gender,Ethnicity,Nationality,Sample,MARS1_1,MARS2_1,MARS3_1,MARS4_1,MARS5_1,MARS6_1,MARS7_1,MARS8_1,MARS9_1,MARS10_1,MARS11_1,MARS12_1,MARS13_1,MARS14_1,MARS15_1,POMSDSF1_1,POMSDSF2_1,POMSDSF3_1,POMSDSF4_1,POMSDSF5_1,POMSDSF6_1,POMSDSF7_1,POMSDSF8_1,Sadness_MIP,MIP_timing_3,POMSDSF1_2,POMSDSF2_2,POMSDSF3_2,POMSDSF4_2,POMSDSF5_2,POMSDSF6_2,POMSDSF7_2,POMSDSF8_2,Condition,Cond_Control,Control_timing_3,Cond_Chet,Chet_timing_3,Cond_SelfSelected,Cond_SS_Instructions,Cond_SS_Timer_3,SelfSelected_Song1,SelfSelected_Song2,POMSDSF1_3,POMSDSF2_3,POMSDSF3_3,POMSDSF4_3,POMSDSF5_3,POMSDSF6_3,POMSDSF7_3,POMSDSF8_3,MusicInfo4_1,RRQ1_1,RRQ2_1,RRQ3_1,RRQ4_1,RRQ5_1,RRQ6_1,RRQ7_1,RRQ8_1,RRQ9_1,RRQ10_1,RRQ11_1,RRQ12_1
1,1, ,18,0,1,South African,1,6,6,5,1,2,6,7,6,5,2,7,5,1,4,7,0,0,0,0,0,0,0,0,1,317.638,2,1,0,0,0,0,0,0,1,1,282.775, , , , , , , ,0,0,0,0,0,0,0,0, ,4,4,2,3,1,5,2,2,4,4,2,2
2,1, ,23,1,1,Australian,2,5,5,2,2,4,5,4,4,4,3,5,5,2,4,4,2,2,1,0,0,1,0,0,1,21.932,1,1,0,0,0,0,0,0,1,1,34.353, , , , , , , ,1,1,1,1,1,1,0,0, ,4,5,5,5,4,1,5,5,1,2,4,4
3,1, ,21,1,1,Australian,2,7,6,3,3,2,6,5,6,4,1,4,6,2,5,7,2,2,2,1,2,3,3,2,1,73.623,2,2,2,2,1,1,2,3,1,1,136.1, , , , , , , ,1,1,1,2,2,1,2,1, ,5,5,5,5,5,1,5,5,1,1,5,5
4,1, ,19,1,3,Iranian,1,6,6,2,5,1,5,7,6,6,2,6,6,2,4,6,1,1,1,2,2,1,1,1,1,304.35,3,4,3,3,2,2,3,2,1,1,281.921, , , , , , , ,4,2,1,3,3,3,3,3, ,3,5,4,5,4,2,5,5,2,2,4,4
5,1, ,18,0,1,Australian,2,4,5,3,3,4,5,5,4,5,1,4,4,3,2,5,1,1,1,0,1,0,0,0,1,305.043,2,1,1,0,0,1,1,0,1,1,296.295, , , , , , , ,3,0,0,1,0,0,1,1, ,4,2,3,4,4,2,4,4,2,3,4,4
6,1, ,20,0,1,Australian,2,4,5,2,3,2,5,5,2,5,2,5,5,4,4,5,1,1,1,0,0,0,0,0,1,305.414,2,2,2,1,1,2,1,0,1,1,284.304, , , , , , , ,2,2,1,0,0,1,1,1, ,4,4,4,4,4,2,4,4,2,3,4,3
7,1, ,22,1,5,Australian,2,5,6,1,4,7,6,6,6,4,1,5,6,2,4,7,0,1,0,0,0,0,0,0,1,306.07,3,4,2,1,1,1,0,0,1,1,416.705, , , , , , , ,0,0,0,0,0,0,0,0, ,3,4,4,4,2,2,2,4,4,2,3,3
8,1, ,22,0,1,Australian,2,5,5,1,2,3,7,6,5,4,4,2,6,3,4,5,0,0,0,2,0,0,0,1,1,306.647,1,1,0,0,0,0,0,0,1,1,284.994, , , , , , , ,0,0,0,0,0,0,0,0, ,3,5,5,5,5,1,5,5,1,1,5,5
9,1, ,18,0,2,Srilankan,1,6,5,3,2,6,5,4,5,5,3,5,4,3,3,4,1,1,1,0,0,0,1,0,1,306.79,0,1,1,1,0,0,1,0,1,1,283.069, , , , , , , ,0,0,0,0,0,0,0,0, ,2,4,4,4,3,2,4,4,2,2,4,4
10,1, ,20,0,2,Kazakh,1,5,4,2,4,3,4,5,4,4,3,3,4,4,4,4,0,0,0,0,0,0,0,0,1,309.417,1,2,2,0,0,1,0,0,1,1,299.761, , , , , , , ,1,0,0,0,0,0,0,0, ,3,4,3,4,3,2,4,4,3,2,3,3
